ns1:loca ionName,ns1:da a ime,ns1:value
松山區,2019/6/5 18:00,31
松山區,2019/6/5 21:00,30
松山區,2019/6/6 00:00,29
松山區,2019/6/6 03:00,28
松山區,2019/6/6 06:00,27
松山區,2019/6/6 09:00,32
松山區,2019/6/6 12:00,34
松山區,2019/6/6 15:00,33
松山區,2019/6/6 18:00,31
松山區,2019/6/6 21:00,30
松山區,2019/6/7 00:00,29
松山區,2019/6/7 03:00,28
松山區,2019/6/7 06:00,28
松山區,2019/6/7 09:00,32
松山區,2019/6/7 12:00,35
松山區,2019/6/7 15:00,33
松山區,2019/6/7 18:00,31
松山區,2019/6/7 21:00,29
松山區,2019/6/8 00:00,28
松山區,2019/6/8 03:00,28
松山區,2019/6/8 06:00,27
松山區,2019/6/8 09:00,31
松山區,2019/6/8 12:00,33
松山區,2019/6/8 15:00,32
信義區,2019/6/5 18:00,31
信義區,2019/6/5 21:00,30
信義區,2019/6/6 00:00,28
信義區,2019/6/6 03:00,27
信義區,2019/6/6 06:00,27
信義區,2019/6/6 09:00,31
信義區,2019/6/6 12:00,34
信義區,2019/6/6 15:00,33
信義區,2019/6/6 18:00,31
信義區,2019/6/6 21:00,30
信義區,2019/6/7 00:00,28
信義區,2019/6/7 03:00,28
信義區,2019/6/7 06:00,27
信義區,2019/6/7 09:00,32
信義區,2019/6/7 12:00,35
信義區,2019/6/7 15:00,34
信義區,2019/6/7 18:00,31
信義區,2019/6/7 21:00,29
信義區,2019/6/8 00:00,28
信義區,2019/6/8 03:00,27
信義區,2019/6/8 06:00,26
信義區,2019/6/8 09:00,30
信義區,2019/6/8 12:00,34
信義區,2019/6/8 15:00,32
大安區,2019/6/5 18:00,32
大安區,2019/6/5 21:00,30
大安區,2019/6/6 00:00,29
大安區,2019/6/6 03:00,28
大安區,2019/6/6 06:00,28
大安區,2019/6/6 09:00,31
大安區,2019/6/6 12:00,34
大安區,2019/6/6 15:00,33
大安區,2019/6/6 18:00,31
大安區,2019/6/6 21:00,30
大安區,2019/6/7 00:00,29
大安區,2019/6/7 03:00,28
大安區,2019/6/7 06:00,28
大安區,2019/6/7 09:00,32
大安區,2019/6/7 12:00,35
大安區,2019/6/7 15:00,34
大安區,2019/6/7 18:00,32
大安區,2019/6/7 21:00,30
大安區,2019/6/8 00:00,29
大安區,2019/6/8 03:00,28
大安區,2019/6/8 06:00,27
大安區,2019/6/8 09:00,31
大安區,2019/6/8 12:00,34
大安區,2019/6/8 15:00,32
中山區,2019/6/5 18:00,32
中山區,2019/6/5 21:00,30
中山區,2019/6/6 00:00,29
中山區,2019/6/6 03:00,28
中山區,2019/6/6 06:00,28
中山區,2019/6/6 09:00,31
中山區,2019/6/6 12:00,34
中山區,2019/6/6 15:00,33
中山區,2019/6/6 18:00,31
中山區,2019/6/6 21:00,30
中山區,2019/6/7 00:00,29
中山區,2019/6/7 03:00,28
中山區,2019/6/7 06:00,28
中山區,2019/6/7 09:00,32
中山區,2019/6/7 12:00,35
中山區,2019/6/7 15:00,34
中山區,2019/6/7 18:00,32
中山區,2019/6/7 21:00,30
中山區,2019/6/8 00:00,29
中山區,2019/6/8 03:00,28
中山區,2019/6/8 06:00,28
中山區,2019/6/8 09:00,31
中山區,2019/6/8 12:00,34
中山區,2019/6/8 15:00,32
中正區,2019/6/5 18:00,32
中正區,2019/6/5 21:00,30
中正區,2019/6/6 00:00,29
中正區,2019/6/6 03:00,28
中正區,2019/6/6 06:00,28
中正區,2019/6/6 09:00,32
中正區,2019/6/6 12:00,34
中正區,2019/6/6 15:00,33
中正區,2019/6/6 18:00,32
中正區,2019/6/6 21:00,30
中正區,2019/6/7 00:00,29
中正區,2019/6/7 03:00,28
中正區,2019/6/7 06:00,28
中正區,2019/6/7 09:00,32
中正區,2019/6/7 12:00,35
中正區,2019/6/7 15:00,34
中正區,2019/6/7 18:00,32
中正區,2019/6/7 21:00,30
中正區,2019/6/8 00:00,29
中正區,2019/6/8 03:00,28
中正區,2019/6/8 06:00,27
中正區,2019/6/8 09:00,31
中正區,2019/6/8 12:00,34
中正區,2019/6/8 15:00,33
大同區,2019/6/5 18:00,32
大同區,2019/6/5 21:00,30
大同區,2019/6/6 00:00,29
大同區,2019/6/6 03:00,28
大同區,2019/6/6 06:00,28
大同區,2019/6/6 09:00,31
大同區,2019/6/6 12:00,34
大同區,2019/6/6 15:00,33
大同區,2019/6/6 18:00,31
大同區,2019/6/6 21:00,30
大同區,2019/6/7 00:00,29
大同區,2019/6/7 03:00,29
大同區,2019/6/7 06:00,28
大同區,2019/6/7 09:00,32
大同區,2019/6/7 12:00,34
大同區,2019/6/7 15:00,34
大同區,2019/6/7 18:00,32
大同區,2019/6/7 21:00,30
大同區,2019/6/8 00:00,29
大同區,2019/6/8 03:00,28
大同區,2019/6/8 06:00,28
大同區,2019/6/8 09:00,31
大同區,2019/6/8 12:00,33
大同區,2019/6/8 15:00,32
萬華區,2019/6/5 18:00,32
萬華區,2019/6/5 21:00,30
萬華區,2019/6/6 00:00,29
萬華區,2019/6/6 03:00,28
萬華區,2019/6/6 06:00,28
萬華區,2019/6/6 09:00,32
萬華區,2019/6/6 12:00,34
萬華區,2019/6/6 15:00,33
萬華區,2019/6/6 18:00,32
萬華區,2019/6/6 21:00,30
萬華區,2019/6/7 00:00,29
萬華區,2019/6/7 03:00,28
萬華區,2019/6/7 06:00,28
萬華區,2019/6/7 09:00,32
萬華區,2019/6/7 12:00,35
萬華區,2019/6/7 15:00,34
萬華區,2019/6/7 18:00,32
萬華區,2019/6/7 21:00,30
萬華區,2019/6/8 00:00,29
萬華區,2019/6/8 03:00,28
萬華區,2019/6/8 06:00,27
萬華區,2019/6/8 09:00,31
萬華區,2019/6/8 12:00,34
萬華區,2019/6/8 15:00,33
文山區,2019/6/5 18:00,30
文山區,2019/6/5 21:00,28
文山區,2019/6/6 00:00,27
